Date : 2025-03-20 08:30:43
Directory : e:\Code\WhatsPPT
Total : 332 files,  70090 codes, 968 comments, 4834 blanks, all 75892 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\views\Editor (Files)                                                                        |          6 |      1,331 |          1 |        149 |      1,481 |
| src\views\Editor\Canvas                                                                         |         33 |      3,711 |        105 |        564 |      4,380 |
| src\views\Editor\Canvas (Files)                                                                 |         10 |      1,313 |          1 |        168 |      1,482 |
| src\views\Editor\CanvasTool                                                                     |          7 |        806 |          0 |         98 |        904 |
| src\views\Editor\Canvas\Operate                                                                 |         12 |        865 |          0 |        100 |        965 |
| src\views\Editor\Canvas\hooks                                                                   |         11 |      1,533 |        104 |        296 |      1,933 |
| src\views\Editor\EditorHeader                                                                   |          2 |        265 |          0 |         27 |        292 |
| src\views\Editor\ExportDialog                                                                   |          6 |        709 |          0 |         75 |        784 |
| src\views\Editor\Remark                                                                         |          2 |        292 |          0 |         48 |        340 |
| src\views\Editor\Thumbnails                                                                     |          2 |        640 |          0 |         81 |        721 |
| src\views\Editor\Toolbar                                                                        |         28 |      5,575 |          0 |        610 |      6,185 |
| src\views\Editor\Toolbar (Files)                                                                |          9 |      2,179 |          0 |        222 |      2,401 |
| src\views\Editor\Toolbar\ElementStylePanel                                                      |         11 |      2,399 |          0 |        288 |      2,687 |
| src\views\Editor\Toolbar\ElementStylePanel (Files)                                              |          9 |      1,645 |          0 |        190 |      1,835 |
| src\views\Editor\Toolbar\ElementStylePanel\ChartStylePanel                                      |          2 |        754 |          0 |         98 |        852 |
| src\views\Editor\Toolbar\common                                                                 |          8 |        997 |          0 |        100 |      1,097 |
| src\views\Mobile                                                                                |         10 |      1,105 |          0 |        139 |      1,244 |
| src\views\Mobile (Files)                                                                        |          4 |        429 |          0 |         54 |        483 |
| src\views\Mobile\MobileEditor                                                                   |          6 |        676 |          0 |         85 |        761 |
| src\views\Screen                                                                                |         13 |      1,715 |         26 |        212 |      1,953 |
| src\views\Screen (Files)                                                                        |          9 |      1,419 |          0 |        158 |      1,577 |
| src\views\Screen\hooks                                                                          |          4 |        296 |         26 |         54 |        376 |
| src\views\components                                                                            |         47 |      5,901 |         18 |        735 |      6,654 |
| src\views\components\ThumbnailSlide                                                             |          2 |        117 |          0 |         11 |        128 |
| src\views\components\element                                                                    |         45 |      5,784 |         18 |        724 |      6,526 |
| src\views\components\element (Files)                                                            |          2 |        338 |          0 |         34 |        372 |
| src\views\components\element\AudioElement                                                       |          4 |        705 |          0 |         99 |        804 |
| src\views\components\element\ChartElement                                                       |          4 |        496 |          6 |         31 |        533 |
| src\views\components\element\ImageElement                                                       |          9 |      1,078 |          0 |        138 |      1,216 |
| src\views\components\element\ImageElement (Files)                                               |          5 |        899 |          0 |        122 |      1,021 |
| src\views\components\element\ImageElement\ImageOutline                                          |          4 |        179 |          0 |         16 |        195 |
| src\views\components\element\LatexElement                                                       |          2 |        141 |          0 |         14 |        155 |
| src\views\components\element\LineElement                                                        |          3 |        252 |          0 |         30 |        282 |
| src\views\components\element\ShapeElement                                                       |          3 |        370 |          0 |         46 |        416 |
| src\views\components\element\TableElement                                                       |          8 |      1,230 |          6 |        185 |      1,421 |
| src\views\components\element\TextElement                                                        |          2 |        272 |          1 |         35 |        308 |
| src\views\components\element\VideoElement                                                       |          5 |        856 |          2 |        103 |        961 |
| src\views\components\element\VideoElement (Files)                                               |          3 |        205 |          0 |         22 |        227 |
| src\views\components\element\VideoElement\VideoPlayer                                           |          2 |        651 |          2 |         81 |        734 |
| src\views\components\element\hooks                                                              |          3 |         46 |          3 |          9 |         58 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Code\WhatsPPT\.eslintrc.cjs                                                                  | JavaScript         |         75 |          1 |          2 |         78 |
| e:\Code\WhatsPPT\.github\ISSUE_TEMPLATE\bug_report.md                                           | Markdown           |         20 |          0 |          3 |         23 |
| e:\Code\WhatsPPT\.github\ISSUE_TEMPLATE\feature_request.md                                      | Markdown           |         12 |          0 |          1 |         13 |
| e:\Code\WhatsPPT\.github\workflows\deploy.yml                                                   | YAML               |         25 |          0 |          6 |         31 |
| e:\Code\WhatsPPT\README.md                                                                      | Markdown           |        195 |          0 |         27 |        222 |
| e:\Code\WhatsPPT\README_zh.md                                                                   | Markdown           |        186 |          0 |         21 |        207 |
| e:\Code\WhatsPPT\commitlint.config.cjs                                                          | JavaScript         |          7 |         13 |          0 |         20 |
| e:\Code\WhatsPPT\doc\AIPPT.md                                                                   | Markdown           |         49 |          0 |          6 |         55 |
| e:\Code\WhatsPPT\doc\Canvas.md                                                                  | Markdown           |         63 |          0 |          4 |         67 |
| e:\Code\WhatsPPT\doc\CustomElement.md                                                           | Markdown           |        368 |          0 |         47 |        415 |
| e:\Code\WhatsPPT\doc\DirectoryAndData.md                                                        | Markdown           |         32 |          0 |          5 |         37 |
| e:\Code\WhatsPPT\doc\Q&A.md                                                                     | Markdown           |         80 |          0 |         78 |        158 |
| e:\Code\WhatsPPT\env.d.ts                                                                       | TypeScript         |          0 |          2 |          1 |          3 |
| e:\Code\WhatsPPT\index.html                                                                     | HTML               |         61 |          0 |          3 |         64 |
| e:\Code\WhatsPPT\package-lock.json                                                              | JSON               |      9,325 |          0 |          1 |      9,326 |
| e:\Code\WhatsPPT\package.json                                                                   | JSON               |         74 |          0 |          1 |         75 |
| e:\Code\WhatsPPT\public\mocks\AIPPT.json                                                        | JSON               |        475 |          0 |          0 |        475 |
| e:\Code\WhatsPPT\public\mocks\AIPPT_Outline.md                                                  | Markdown           |         64 |          0 |          5 |         69 |
| e:\Code\WhatsPPT\public\mocks\slides.json                                                       | JSON               |        184 |          0 |          0 |        184 |
| e:\Code\WhatsPPT\public\mocks\template_1.json                                                   | JSON               |      8,123 |          0 |          0 |      8,123 |
| e:\Code\WhatsPPT\public\mocks\template_2.json                                                   | JSON               |      8,690 |          0 |          0 |      8,690 |
| e:\Code\WhatsPPT\public\mocks\template_3.json                                                   | JSON               |          1 |          0 |          0 |          1 |
| e:\Code\WhatsPPT\public\mocks\template_csg.json                                                 | JSON               |      4,688 |          0 |          1 |      4,689 |
| e:\Code\WhatsPPT\src\App.vue                                                                    | vue                |         67 |          0 |         13 |         80 |
| e:\Code\WhatsPPT\src\assets\styles\font.scss                                                    | SCSS               |          8 |          0 |          1 |          9 |
| e:\Code\WhatsPPT\src\assets\styles\global.scss                                                  | SCSS               |        120 |          0 |         19 |        139 |
| e:\Code\WhatsPPT\src\assets\styles\mixin.scss                                                   | SCSS               |         36 |          0 |          6 |         42 |
| e:\Code\WhatsPPT\src\assets\styles\prosemirror.scss                                             | SCSS               |         90 |          0 |         12 |        102 |
| e:\Code\WhatsPPT\src\assets\styles\variable.scss                                                | SCSS               |         10 |          0 |          3 |         13 |
| e:\Code\WhatsPPT\src\components.d.ts                                                            | TypeScript         |          5 |          0 |          2 |          7 |
| e:\Code\WhatsPPT\src\components\Button.vue                                                      | vue                |        106 |          0 |         10 |        116 |
| e:\Code\WhatsPPT\src\components\ButtonGroup.vue                                                 | vue                |         76 |          0 |         10 |         86 |
| e:\Code\WhatsPPT\src\components\Checkbox.vue                                                    | vue                |         99 |          0 |         10 |        109 |
| e:\Code\WhatsPPT\src\components\CheckboxButton.vue                                              | vue                |         19 |          0 |          2 |         21 |
| e:\Code\WhatsPPT\src\components\ColorButton.vue                                                 | vue                |         39 |          0 |          3 |         42 |
| e:\Code\WhatsPPT\src\components\ColorPicker\Alpha.vue                                           | vue                |         95 |          0 |         12 |        107 |
| e:\Code\WhatsPPT\src\components\ColorPicker\Checkboard.vue                                      | vue                |         49 |          0 |         11 |         60 |
| e:\Code\WhatsPPT\src\components\ColorPicker\EditableInput.vue                                   | vue                |         62 |          0 |          8 |         70 |
| e:\Code\WhatsPPT\src\components\ColorPicker\Hue.vue                                             | vue                |        104 |          0 |         13 |        117 |
| e:\Code\WhatsPPT\src\components\ColorPicker\Saturation.vue                                      | vue                |         96 |          0 |         12 |        108 |
| e:\Code\WhatsPPT\src\components\ColorPicker\index.vue                                           | vue                |        384 |          0 |         59 |        443 |
| e:\Code\WhatsPPT\src\components\Contextmenu\MenuContent.vue                                     | vue                |        125 |          0 |         12 |        137 |
| e:\Code\WhatsPPT\src\components\Contextmenu\index.vue                                           | vue                |         69 |          0 |         11 |         80 |
| e:\Code\WhatsPPT\src\components\Contextmenu\types.ts                                            | TypeScript         |         13 |          0 |          1 |         14 |
| e:\Code\WhatsPPT\src\components\Divider.vue                                                     | vue                |         32 |          0 |          2 |         34 |
| e:\Code\WhatsPPT\src\components\Drawer.vue                                                      | vue                |        115 |          0 |         11 |        126 |
| e:\Code\WhatsPPT\src\components\FileInput.vue                                                   | vue                |         39 |          0 |          6 |         45 |
| e:\Code\WhatsPPT\src\components\FullscreenSpin.vue                                              | vue                |         68 |          0 |          3 |         71 |
| e:\Code\WhatsPPT\src\components\GradientBar.vue                                                 | vue                |        124 |          0 |         25 |        149 |
| e:\Code\WhatsPPT\src\components\Input.vue                                                       | vue                |        121 |          0 |         15 |        136 |
| e:\Code\WhatsPPT\src\components\LaTeXEditor\FormulaContent.vue                                  | vue                |         50 |          0 |          7 |         57 |
| e:\Code\WhatsPPT\src\components\LaTeXEditor\SymbolContent.vue                                   | vue                |         17 |          0 |          4 |         21 |
| e:\Code\WhatsPPT\src\components\LaTeXEditor\hfmath.ts                                           | TypeScript         |          3 |          0 |          2 |          5 |
| e:\Code\WhatsPPT\src\components\LaTeXEditor\index.vue                                           | vue                |        241 |          0 |         24 |        265 |
| e:\Code\WhatsPPT\src\components\Message.vue                                                     | vue                |        166 |          0 |         16 |        182 |
| e:\Code\WhatsPPT\src\components\Modal.vue                                                       | vue                |        136 |          0 |         18 |        154 |
| e:\Code\WhatsPPT\src\components\MoveablePanel.vue                                               | vue                |        187 |          0 |         33 |        220 |
| e:\Code\WhatsPPT\src\components\NumberInput.vue                                                 | vue                |        180 |          0 |         21 |        201 |
| e:\Code\WhatsPPT\src\components\OutlineEditor.vue                                               | vue                |        309 |          0 |         35 |        344 |
| e:\Code\WhatsPPT\src\components\Popover.vue                                                     | vue                |         92 |          0 |         11 |        103 |
| e:\Code\WhatsPPT\src\components\PopoverMenuItem.vue                                             | vue                |         33 |          0 |          5 |         38 |
| e:\Code\WhatsPPT\src\components\RadioButton.vue                                                 | vue                |         22 |          0 |          4 |         26 |
| e:\Code\WhatsPPT\src\components\RadioGroup.vue                                                  | vue                |         28 |          0 |          7 |         35 |
| e:\Code\WhatsPPT\src\components\Select.vue                                                      | vue                |        187 |          0 |         17 |        204 |
| e:\Code\WhatsPPT\src\components\SelectCustom.vue                                                | vue                |        112 |          0 |          8 |        120 |
| e:\Code\WhatsPPT\src\components\SelectGroup.vue                                                 | vue                |         46 |          0 |          8 |         54 |
| e:\Code\WhatsPPT\src\components\Slider.vue                                                      | vue                |        244 |          0 |         36 |        280 |
| e:\Code\WhatsPPT\src\components\Switch.vue                                                      | vue                |         75 |          0 |          9 |         84 |
| e:\Code\WhatsPPT\src\components\Tabs.vue                                                        | vue                |         95 |          0 |         13 |        108 |
| e:\Code\WhatsPPT\src\components\TextArea.vue                                                    | vue                |         83 |          0 |         11 |         94 |
| e:\Code\WhatsPPT\src\components\TextColorButton.vue                                             | vue                |         34 |          0 |          4 |         38 |
| e:\Code\WhatsPPT\src\components\WritingBoard.vue                                                | vue                |        309 |          0 |         50 |        359 |
| e:\Code\WhatsPPT\src\configs\animation.ts                                                       | TypeScript         |        228 |          0 |          6 |        234 |
| e:\Code\WhatsPPT\src\configs\chart.ts                                                           | TypeScript         |         67 |          0 |          3 |         70 |
| e:\Code\WhatsPPT\src\configs\element.ts                                                         | TypeScript         |         21 |          0 |          1 |         22 |
| e:\Code\WhatsPPT\src\configs\font.ts                                                            | TypeScript         |         25 |          0 |          0 |         25 |
| e:\Code\WhatsPPT\src\configs\hotkey.ts                                                          | TypeScript         |        147 |          0 |          2 |        149 |
| e:\Code\WhatsPPT\src\configs\imageClip.ts                                                       | TypeScript         |        178 |          0 |          3 |        181 |
| e:\Code\WhatsPPT\src\configs\latex.ts                                                           | TypeScript         |        273 |          0 |          1 |        274 |
| e:\Code\WhatsPPT\src\configs\lines.ts                                                           | TypeScript         |         35 |          0 |          4 |         39 |
| e:\Code\WhatsPPT\src\configs\shapes.ts                                                          | TypeScript         |      1,025 |          2 |         11 |      1,038 |
| e:\Code\WhatsPPT\src\configs\storage.ts                                                         | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Code\WhatsPPT\src\configs\symbol.ts                                                          | TypeScript         |         59 |          0 |          0 |         59 |
| e:\Code\WhatsPPT\src\configs\theme.ts                                                           | TypeScript         |         92 |          0 |          1 |         93 |
| e:\Code\WhatsPPT\src\global.d.ts                                                                | TypeScript         |         14 |          0 |          2 |         16 |
| e:\Code\WhatsPPT\src\hooks\useAIPPT.ts                                                          | TypeScript         |        440 |          0 |         57 |        497 |
| e:\Code\WhatsPPT\src\hooks\useAddSlidesOrElements.ts                                            | TypeScript         |         78 |         12 |         16 |        106 |
| e:\Code\WhatsPPT\src\hooks\useAlignActiveElement.ts                                             | TypeScript         |        163 |          6 |          8 |        177 |
| e:\Code\WhatsPPT\src\hooks\useAlignElementToCanvas.ts                                           | TypeScript         |         56 |         11 |         13 |         80 |
| e:\Code\WhatsPPT\src\hooks\useCombineElement.ts                                                 | TypeScript         |         57 |         17 |         17 |         91 |
| e:\Code\WhatsPPT\src\hooks\useCopyAndPasteElement.ts                                            | TypeScript         |         42 |          4 |          9 |         55 |
| e:\Code\WhatsPPT\src\hooks\useCreateElement.ts                                                  | TypeScript         |        255 |         41 |         29 |        325 |
| e:\Code\WhatsPPT\src\hooks\useDeleteElement.ts                                                  | TypeScript         |         34 |          3 |          7 |         44 |
| e:\Code\WhatsPPT\src\hooks\useExport.ts                                                         | TypeScript         |        771 |         12 |         91 |        874 |
| e:\Code\WhatsPPT\src\hooks\useGlobalHotkey.ts                                                   | TypeScript         |        294 |          0 |         27 |        321 |
| e:\Code\WhatsPPT\src\hooks\useHideElement.ts                                                    | TypeScript         |         30 |          0 |          5 |         35 |
| e:\Code\WhatsPPT\src\hooks\useHistorySnapshot.ts                                                | TypeScript         |         19 |          3 |          5 |         27 |
| e:\Code\WhatsPPT\src\hooks\useImport.ts                                                         | TypeScript         |        516 |          2 |         53 |        571 |
| e:\Code\WhatsPPT\src\hooks\useLink.ts                                                           | TypeScript         |         31 |          0 |          6 |         37 |
| e:\Code\WhatsPPT\src\hooks\useLoadSlides.ts                                                     | TypeScript         |         24 |          0 |          6 |         30 |
| e:\Code\WhatsPPT\src\hooks\useLockElement.ts                                                    | TypeScript         |         49 |          5 |          7 |         61 |
| e:\Code\WhatsPPT\src\hooks\useMoveElement.ts                                                    | TypeScript         |         48 |          6 |          7 |         61 |
| e:\Code\WhatsPPT\src\hooks\useOrderElement.ts                                                   | TypeScript         |        117 |         51 |         44 |        212 |
| e:\Code\WhatsPPT\src\hooks\usePasteEvent.ts                                                     | TypeScript         |         40 |          7 |         11 |         58 |
| e:\Code\WhatsPPT\src\hooks\usePasteTextClipboardData.ts                                         | TypeScript         |         65 |         22 |         11 |         98 |
| e:\Code\WhatsPPT\src\hooks\useScaleCanvas.ts                                                    | TypeScript         |         31 |         12 |          7 |         50 |
| e:\Code\WhatsPPT\src\hooks\useScreening.ts                                                      | TypeScript         |         23 |          3 |          5 |         31 |
| e:\Code\WhatsPPT\src\hooks\useSearch.ts                                                         | TypeScript         |        395 |          0 |         49 |        444 |
| e:\Code\WhatsPPT\src\hooks\useSectionHandler.ts                                                 | TypeScript         |         78 |          0 |         14 |         92 |
| e:\Code\WhatsPPT\src\hooks\useSelectElement.ts                                                  | TypeScript         |         23 |          2 |          6 |         31 |
| e:\Code\WhatsPPT\src\hooks\useShapeFormatPainter.ts                                             | TypeScript         |         24 |          0 |          5 |         29 |
| e:\Code\WhatsPPT\src\hooks\useSlideBackgroundStyle.ts                                           | TypeScript         |         40 |          5 |          8 |         53 |
| e:\Code\WhatsPPT\src\hooks\useSlideHandler.ts                                                   | TypeScript         |        153 |         15 |         23 |        191 |
| e:\Code\WhatsPPT\src\hooks\useSlideTheme.ts                                                     | TypeScript         |        340 |          7 |         33 |        380 |
| e:\Code\WhatsPPT\src\hooks\useTextFormatPainter.ts                                              | TypeScript         |         26 |          0 |          4 |         30 |
| e:\Code\WhatsPPT\src\hooks\useUniformDisplayElement.ts                                          | TypeScript         |        216 |         12 |         33 |        261 |
| e:\Code\WhatsPPT\src\main.ts                                                                    | TypeScript         |         16 |          0 |          4 |         20 |
| e:\Code\WhatsPPT\src\plugins\directive\clickOutside.ts                                          | TypeScript         |         27 |          0 |          8 |         35 |
| e:\Code\WhatsPPT\src\plugins\directive\contextmenu.ts                                           | TypeScript         |         48 |          4 |         12 |         64 |
| e:\Code\WhatsPPT\src\plugins\directive\index.ts                                                 | TypeScript         |         11 |          0 |          3 |         14 |
| e:\Code\WhatsPPT\src\plugins\directive\tooltip.scss                                             | SCSS               |         57 |          0 |         10 |         67 |
| e:\Code\WhatsPPT\src\plugins\directive\tooltip.ts                                               | TypeScript         |         51 |          0 |         11 |         62 |
| e:\Code\WhatsPPT\src\plugins\icon.ts                                                            | TypeScript         |        263 |          1 |          4 |        268 |
| e:\Code\WhatsPPT\src\services\config.ts                                                         | TypeScript         |         27 |          0 |          6 |         33 |
| e:\Code\WhatsPPT\src\services\index.ts                                                          | TypeScript         |         49 |          4 |          6 |         59 |
| e:\Code\WhatsPPT\src\store\index.ts                                                             | TypeScript         |         12 |          0 |          1 |         13 |
| e:\Code\WhatsPPT\src\store\keyboard.ts                                                          | TypeScript         |         29 |          0 |          4 |         33 |
| e:\Code\WhatsPPT\src\store\main.ts                                                              | TypeScript         |        175 |          0 |         35 |        210 |
| e:\Code\WhatsPPT\src\store\screen.ts                                                            | TypeScript         |         14 |          0 |          3 |         17 |
| e:\Code\WhatsPPT\src\store\slides.ts                                                            | TypeScript         |        194 |          3 |         35 |        232 |
| e:\Code\WhatsPPT\src\store\snapshot.ts                                                          | TypeScript         |         94 |          9 |         27 |        130 |
| e:\Code\WhatsPPT\src\types\AIPPT.ts                                                             | TypeScript         |         36 |          0 |          8 |         44 |
| e:\Code\WhatsPPT\src\types\edit.ts                                                              | TypeScript         |        111 |          0 |         15 |        126 |
| e:\Code\WhatsPPT\src\types\export.ts                                                            | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Code\WhatsPPT\src\types\injectKey.ts                                                         | TypeScript         |         10 |          0 |          2 |         12 |
| e:\Code\WhatsPPT\src\types\mobile.ts                                                            | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Code\WhatsPPT\src\types\slides.ts                                                            | TypeScript         |        308 |        405 |         55 |        768 |
| e:\Code\WhatsPPT\src\types\toolbar.ts                                                           | TypeScript         |         10 |          0 |          0 |         10 |
| e:\Code\WhatsPPT\src\utils\clipboard.ts                                                         | TypeScript         |         57 |          7 |          8 |         72 |
| e:\Code\WhatsPPT\src\utils\common.ts                                                            | TypeScript         |         10 |         11 |          3 |         24 |
| e:\Code\WhatsPPT\src\utils\crypto.ts                                                            | TypeScript         |          9 |          8 |          3 |         20 |
| e:\Code\WhatsPPT\src\utils\database.ts                                                          | TypeScript         |         43 |          4 |         12 |         59 |
| e:\Code\WhatsPPT\src\utils\element.ts                                                           | TypeScript         |        181 |         44 |         23 |        248 |
| e:\Code\WhatsPPT\src\utils\emitter.ts                                                           | TypeScript         |         23 |          0 |          6 |         29 |
| e:\Code\WhatsPPT\src\utils\fullscreen.ts                                                        | TypeScript         |         22 |          3 |          2 |         27 |
| e:\Code\WhatsPPT\src\utils\htmlParser\format.ts                                                 | TypeScript         |         42 |          0 |          5 |         47 |
| e:\Code\WhatsPPT\src\utils\htmlParser\index.ts                                                  | TypeScript         |         11 |          1 |          4 |         16 |
| e:\Code\WhatsPPT\src\utils\htmlParser\lexer.ts                                                  | TypeScript         |        239 |          0 |         36 |        275 |
| e:\Code\WhatsPPT\src\utils\htmlParser\parser.ts                                                 | TypeScript         |        115 |          0 |         14 |        129 |
| e:\Code\WhatsPPT\src\utils\htmlParser\stringify.ts                                              | TypeScript         |         23 |          0 |          5 |         28 |
| e:\Code\WhatsPPT\src\utils\htmlParser\tags.ts                                                   | TypeScript         |         16 |          0 |          4 |         20 |
| e:\Code\WhatsPPT\src\utils\htmlParser\types.ts                                                  | TypeScript         |         55 |          0 |         15 |         70 |
| e:\Code\WhatsPPT\src\utils\image.ts                                                             | TypeScript         |         49 |         16 |         10 |         75 |
| e:\Code\WhatsPPT\src\utils\message.ts                                                           | TypeScript         |         89 |          0 |         14 |        103 |
| e:\Code\WhatsPPT\src\utils\print.ts                                                             | TypeScript         |         74 |          0 |         13 |         87 |
| e:\Code\WhatsPPT\src\utils\prosemirror\commands\setListStyle.ts                                 | TypeScript         |         25 |          0 |          6 |         31 |
| e:\Code\WhatsPPT\src\utils\prosemirror\commands\setTextAlign.ts                                 | TypeScript         |         51 |          0 |         11 |         62 |
| e:\Code\WhatsPPT\src\utils\prosemirror\commands\setTextIndent.ts                                | TypeScript         |         67 |          0 |         20 |         87 |
| e:\Code\WhatsPPT\src\utils\prosemirror\commands\toggleList.ts                                   | TypeScript         |         41 |          0 |         13 |         54 |
| e:\Code\WhatsPPT\src\utils\prosemirror\index.ts                                                 | TypeScript         |         29 |          0 |          3 |         32 |
| e:\Code\WhatsPPT\src\utils\prosemirror\plugins\index.ts                                         | TypeScript         |         25 |          0 |          6 |         31 |
| e:\Code\WhatsPPT\src\utils\prosemirror\plugins\inputrules.ts                                    | TypeScript         |         50 |          0 |         13 |         63 |
| e:\Code\WhatsPPT\src\utils\prosemirror\plugins\keymap.ts                                        | TypeScript         |         47 |          0 |          4 |         51 |
| e:\Code\WhatsPPT\src\utils\prosemirror\plugins\placeholder.ts                                   | TypeScript         |         21 |          0 |          2 |         23 |
| e:\Code\WhatsPPT\src\utils\prosemirror\schema\index.ts                                          | TypeScript         |          4 |          0 |          2 |          6 |
| e:\Code\WhatsPPT\src\utils\prosemirror\schema\marks.ts                                          | TypeScript         |        180 |          0 |         12 |        192 |
| e:\Code\WhatsPPT\src\utils\prosemirror\schema\nodes.ts                                          | TypeScript         |        157 |          0 |         22 |        179 |
| e:\Code\WhatsPPT\src\utils\prosemirror\utils.ts                                                 | TypeScript         |        225 |          0 |         35 |        260 |
| e:\Code\WhatsPPT\src\utils\selection.ts                                                         | TypeScript         |          4 |          1 |          0 |          5 |
| e:\Code\WhatsPPT\src\utils\svg2Base64.ts                                                        | TypeScript         |         46 |          1 |          8 |         55 |
| e:\Code\WhatsPPT\src\utils\svgPathParser.ts                                                     | TypeScript         |        128 |          8 |         10 |        146 |
| e:\Code\WhatsPPT\src\utils\textParser.ts                                                        | TypeScript         |          9 |          4 |          0 |         13 |
| e:\Code\WhatsPPT\src\views\Editor\AIPPTDialog.vue                                               | vue                |        380 |          1 |         54 |        435 |
| e:\Code\WhatsPPT\src\views\Editor\CanvasTool\ChartPool.vue                                      | vue                |         57 |          0 |         11 |         68 |
| e:\Code\WhatsPPT\src\views\Editor\CanvasTool\LinePool.vue                                       | vue                |        102 |          0 |         10 |        112 |
| e:\Code\WhatsPPT\src\views\Editor\CanvasTool\MediaInput.vue                                     | vue                |         64 |          0 |         12 |         76 |
| e:\Code\WhatsPPT\src\views\Editor\CanvasTool\ShapeItemThumbnail.vue                             | vue                |         56 |          0 |          6 |         62 |
| e:\Code\WhatsPPT\src\views\Editor\CanvasTool\ShapePool.vue                                      | vue                |         57 |          0 |          6 |         63 |
| e:\Code\WhatsPPT\src\views\Editor\CanvasTool\TableGenerator.vue                                 | vue                |        145 |          0 |         17 |        162 |
| e:\Code\WhatsPPT\src\views\Editor\CanvasTool\index.vue                                          | vue                |        325 |          0 |         36 |        361 |
